estacion,latitud,longitud,altitud,mes,ppt_media_mensual
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,9,26.414226570875503
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,10,62.159260563248296
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,11,94.50774754483822
TAMBOBAMBA,-13.944916666666668,-72.17522222222223,3317,12,161.10734764505764
UBINAS,-16.372055555555555,-70.85394444444444,3380,1,90.70238290236352
UBINAS,-16.372055555555555,-70.85394444444444,3380,2,91.21372012998727
UBINAS,-16.372055555555555,-70.85394444444444,3380,3,60.69789682157752
UBINAS,-16.372055555555555,-70.85394444444444,3380,4,16.566738380118
UBINAS,-16.372055555555555,-70.85394444444444,3380,5,2.0468418254821685
UBINAS,-16.372055555555555,-70.85394444444444,3380,6,2.275406858590259
UBINAS,-16.372055555555555,-70.85394444444444,3380,7,2.364893657274689
UBINAS,-16.372055555555555,-70.85394444444444,3380,8,3.554916511809792
UBINAS,-16.372055555555555,-70.85394444444444,3380,9,3.4561017348305083
UBINAS,-16.372055555555555,-70.85394444444444,3380,10,5.0116897604804915
UBINAS,-16.372055555555555,-70.85394444444444,3380,11,7.497571145384735
UBINAS,-16.372055555555555,-70.85394444444444,3380,12,33.97962962962963
